@ NAME             %06s "SURVEY"
@ TYPE             %06s "SURVEY"
@ TITLE            %15s "ESR ring optics"
@ ORIGIN           %18s "5.09.03 Windows 64"
@ DATE             %08s "10/01/25"
@ TIME             %08s "15.36.40"
* NAME               KEYWORD                             S                  L              ANGLE                  X                  Y                  Z              THETA                PHI                PSI         GLOBALTILT               TILT    SLOT_ID ASSEMBLY_ID           MECH_SEP              V_POS COMMENTS           
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le         %d         %d                %le                %le %s                 
 "DIPR020207"        "SBEND"                    83.69019634       0.8177084625       0.1308333375       -10.81778136                  0       -19.06430964       -5.102500163                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02KX4"            "HKICKER"                  83.69019634              1e-12                  0       -10.81778136                  0       -19.06430964       -5.102500163                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR020208"        "SBEND"                     84.5079048       0.8177084625       0.1308333375       -10.08397913                  0       -18.70482644         -5.2333335                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR24"           "DRIFT"                     84.5279048               0.02                  0       -10.06663214                  0       -18.69487245         -5.2333335                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR25"           "DRIFT"                     85.3079048               0.78                  0       -9.390099545                  0       -18.30666677         -5.2333335                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DG2M"           "MONITOR"                   85.3079048              1e-12                  0       -9.390099545                  0       -18.30666677         -5.2333335                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR26"           "DRIFT"                     87.1504282          1.8425234                  0       -7.791987833                  0       -17.38964363         -5.2333335                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR27"           "DRIFT"                     87.3304282               0.18                  0       -7.635864927                  0       -17.30005771         -5.2333335                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02KS3"            "SEXTUPOLE"                 87.6704282               0.34                  0       -7.340966104                  0       -17.13083985         -5.2333335                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR28"           "DRIFT"                     87.7361282             0.0657                  0       -7.283981243                  0       -17.09814098         -5.2333335                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR29"           "DRIFT"                     87.8311282              0.095                  0       -7.201583042                  0       -17.05085952         -5.2333335                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "Q0206"             "QUADRUPOLE"                88.6527281          0.8215999                  0       -6.488968797                  0       -16.64194959         -5.2333335                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR30"           "DRIFT"                     88.7477281              0.095                  0       -6.406570596                  0       -16.59466813         -5.2333335                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR31"           "DRIFT"                     88.9107281              0.163                  0       -6.265192631                  0        -16.5135431         -5.2333335                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DX4"            "MONITOR"                   88.9107281              1e-12                  0       -6.265192631                  0        -16.5135431         -5.2333335                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR32"           "DRIFT"                     89.0737281              0.163                  0       -6.123814666                  0       -16.43241806         -5.2333335                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR33"           "DRIFT"                     89.1687281              0.095                  0       -6.041416465                  0        -16.3851366         -5.2333335                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "Q0207"             "QUADRUPOLE"               89.78892805         0.62019995                  0       -5.503486361                  0       -16.07646334         -5.2333335                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "Q0207"             "QUADRUPOLE"                 90.409128         0.62019995                  0       -4.965556257                  0       -15.76779008         -5.2333335                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR34"           "DRIFT"                      90.510128              0.101                  0        -4.87795396                  0       -15.71752243         -5.2333335                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02KS4"            "SEXTUPOLE"                  90.850128               0.34                  0       -4.583055137                  0       -15.54830457         -5.2333335                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR35"           "DRIFT"                      90.951128              0.101                  0       -4.495452839                  0       -15.49803691         -5.2333335                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "Q0208"             "QUADRUPOLE"                91.7727279          0.8215999                  0       -3.782838594                  0       -15.08912698         -5.2333335                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR36"           "DRIFT"                     91.8677279              0.095                  0       -3.700440393                  0       -15.04184551         -5.2333335                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR37"           "DRIFT"                     92.0304279             0.1627                  0       -3.559322633                  0       -14.96086979         -5.2333335                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DX5"            "MONITOR"                   92.0304279              1e-12                  0       -3.559322633                  0       -14.96086979         -5.2333335                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR38"           "DRIFT"                     92.4604279               0.43                  0       -3.186362357                  0       -14.74685897         -5.2333335                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR39"           "DRIFT"                     92.4804279               0.02                  0       -3.169015367                  0       -14.73690498         -5.2333335                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR020301"        "SBEND"                    93.29813636       0.8177084625       0.1308333375       -2.488382884                  0       -14.28476196       -5.364166838                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02KX5"            "HKICKER"                  93.29813636              1e-12                  0       -2.488382884                  0       -14.28476196       -5.364166838                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR020302"        "SBEND"                    94.11584483       0.8177084625       0.1308333375       -1.872554174                  0       -13.74768759       -5.495000175                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR020303"        "SBEND"                    94.93355329       0.8177084625       0.1308333375        -1.33205557                  0       -13.13486205       -5.625833512                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR020304"        "SBEND"                    95.75126175       0.8177084625       0.1308333375      -0.8761257933                  0       -12.45676034        -5.75666685                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR020305"        "SBEND"                    96.56897021       0.8177084625       0.1308333375      -0.5125580334                  0       -11.72497323       -5.887500187                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR020306"        "SBEND"                    97.38667868       0.8177084625       0.1308333375      -0.2475667387                  0       -10.95200914       -6.018333525                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR020307"        "SBEND"                    98.20438714       0.8177084625       0.1308333375     -0.08568139465                  0       -10.15108029       -6.149166862                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02KX6"            "HKICKER"                  98.20438714              1e-12                  0     -0.08568139465                  0       -10.15108029       -6.149166862                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR020308"        "SBEND"                     99.0220956       0.8177084625       0.1308333375     -0.02966910088                  0       -9.335876934         -6.2800002                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR40"           "DRIFT"                    101.1737956             2.1517                  0     -0.02281571735                  0       -7.184187848         -6.2800002                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "Q0209"             "QUADRUPOLE"               102.0083955          0.8345999                  0     -0.02015743171                  0       -6.349592182         -6.2800002                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR41"           "DRIFT"                    102.1033955              0.095                  0     -0.01985484704                  0       -6.254592664         -6.2800002                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR42"           "DRIFT"                    102.2660955             0.1627                  0     -0.01933663098                  0       -6.091893489         -6.2800002                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DX6"            "MONITOR"                  102.2660955              1e-12                  0     -0.01933663098                  0       -6.091893489         -6.2800002                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR43"           "DRIFT"                    102.4287955             0.1627                  0     -0.01881841492                  0       -5.929194314         -6.2800002                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR44"           "DRIFT"                    102.5237955              0.095                  0     -0.01851583024                  0       -5.834194796         -6.2800002                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "Q0210"             "QUADRUPOLE"               103.3453954          0.8215999                  0     -0.01589895093                  0       -5.012599064         -6.2800002                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR45"           "DRIFT"                    103.4403954              0.095                  0     -0.01559636626                  0       -4.917599546         -6.2800002                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR46"           "DRIFT"                    103.6453954              0.205                  0     -0.01494342039                  0       -4.712600586         -6.2800002                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR47"           "DRIFT"                    108.3160946          4.6706992                  0     -6.6767989e-05                  0     -0.04192507743         -6.2800002                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "ESRRING$END"       "MARKER"                   108.3160946                  0                  0     -6.6767989e-05                  0     -0.04192507743         -6.2800002                  0                  0                  0                  0          0          0                  0                  0 ""                 
