@ NAME             %06s "SURVEY"
@ TYPE             %06s "SURVEY"
@ TITLE            %15s "ESR ring optics"
@ ORIGIN           %18s "5.09.03 Windows 64"
@ DATE             %08s "10/01/25"
@ TIME             %08s "15.36.40"
* NAME               KEYWORD                             S                  L              ANGLE                  X                  Y                  Z              THETA                PHI                PSI         GLOBALTILT               TILT    SLOT_ID ASSEMBLY_ID           MECH_SEP              V_POS COMMENTS           
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le         %d         %d                %le                %le %s                 
 "E01DR16"           "DRIFT"                     19.5683665              0.163                  0        -6.35374916                  0        16.57306446         -1.0466667                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR17"           "DRIFT"                     19.6633665              0.095                  0       -6.435996346                  0        16.62060812         -1.0466667                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "Q0105"             "QUADRUPOLE"                20.4849664          0.8215999                  0       -7.147304557                  0        17.03178573         -1.0466667                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR18"           "DRIFT"                     20.5799664              0.095                  0       -7.229551744                  0         17.0793294         -1.0466667                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR19"           "DRIFT"                     20.6456664             0.0657                  0       -7.286432166                  0         17.1122096         -1.0466667                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01KS2"            "SEXTUPOLE"                 20.9856664               0.34                  0       -7.580790517                  0        17.28236588         -1.0466667                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR20"           "DRIFT"                     21.1656664               0.18                  0       -7.736627291                  0        17.37244862         -1.0466667                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR21"           "DRIFT"                     23.0081898          1.8425234                  0       -9.331810085                  0        18.29455726         -1.0466667                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR22"           "DRIFT"                     23.7881898               0.78                  0       -10.00710277                  0        18.68491579         -1.0466667                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR23"           "DRIFT"                     23.8081898               0.02                  0       -10.02441797                  0        18.69492498         -1.0466667                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR010201"        "SBEND"                    24.62589826       0.8177084625       0.1308333375       -10.75707149                  0        19.05674359       -1.177500037                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01KX3"            "HKICKER"                  24.62589826              1e-12                  0       -10.75707149                  0        19.05674359       -1.177500037                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR010202"        "SBEND"                    25.44360673       0.8177084625       0.1308333375        -11.5306664                  0        19.31988765       -1.308333375                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR010203"        "SBEND"                    26.26131519       0.8177084625       0.1308333375       -12.33197968                  0        19.47985925       -1.439166713                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR010204"        "SBEND"                    27.07902365       0.8177084625       0.1308333375       -13.14731451                  0        19.53392401        -1.57000005                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR010205"        "SBEND"                    27.89673211       0.8177084625       0.1308333375       -13.96273441                  0        19.48115779       -1.700833388                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR010206"        "SBEND"                    28.71444058       0.8177084625       0.1308333375       -14.76430143                  0        19.32246252       -1.831666725                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR010207"        "SBEND"                    29.53214904       0.8177084625       0.1308333375       -15.53831444                  0        19.06055079       -1.962500062                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01KX4"            "HKICKER"                  29.53214904              1e-12                  0       -15.53831444                  0        19.06055079       -1.962500062                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR010208"        "SBEND"                     30.3498575       0.8177084625       0.1308333375       -16.27154324                  0        18.69989943         -2.0933334                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR24"           "DRIFT"                     30.3698575               0.02                  0       -16.28887436                  0        18.68991782         -2.0933334                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR25"           "DRIFT"                     31.1498575               0.78                  0       -16.96478785                  0        18.30063522         -2.0933334                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DG2M"           "MONITOR"                   31.1498575              1e-12                  0       -16.96478785                  0        18.30063522         -2.0933334                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR26"           "DRIFT"                     32.9923809          1.8425234                  0       -18.56143713                  0        17.38106817         -2.0933334                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR27"           "DRIFT"                     33.1723809               0.18                  0       -18.71741717                  0        17.29123372         -2.0933334                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01KS3"            "SEXTUPOLE"                 33.5123809               0.34                  0       -19.01204613                  0        17.12154643         -2.0933334                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR28"           "DRIFT"                     33.5780809             0.0657                  0       -19.06897884                  0        17.08875686         -2.0933334                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR29"           "DRIFT"                     33.6730809              0.095                  0       -19.15130164                  0        17.04134424         -2.0933334                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "Q0106"             "QUADRUPOLE"                34.4946808          0.8215999                  0       -19.86326377                  0        16.63129995         -2.0933334                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR30"           "DRIFT"                     34.5896808              0.095                  0       -19.94558657                  0        16.58388732         -2.0933334                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR31"           "DRIFT"                     34.7526808              0.163                  0       -20.08683516                  0        16.50253724         -2.0933334                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DX4"            "MONITOR"                   34.7526808              1e-12                  0       -20.08683516                  0        16.50253724         -2.0933334                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR32"           "DRIFT"                     34.9156808              0.163                  0       -20.22808375                  0        16.42118716         -2.0933334                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR33"           "DRIFT"                     35.0106808              0.095                  0       -20.31040655                  0        16.37377454         -2.0933334                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "Q0107"             "QUADRUPOLE"               35.63088075         0.62019995                  0       -20.84784439                  0        16.06424499         -2.0933334                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "Q0107"             "QUADRUPOLE"                36.2510807         0.62019995                  0       -21.38528224                  0        15.75471543         -2.0933334                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR34"           "DRIFT"                     36.3520807              0.101                  0       -21.47280437                  0        15.70430833         -2.0933334                  0                  0                  0                  0          0          0                  0                  0 ""                 
