@ NAME             %19s "TRACK.OBS0002.P0001"
@ TYPE             %08s "TRACKOBS"
@ TITLE            %15s "ESR ring optics"
@ ORIGIN           %18s "5.09.03 Windows 64"
@ DATE             %08s "10/01/25"
@ TIME             %08s "18.55.24"
*     NUMBER       TURN                  X                 PX                  Y                 PY                  T                 PT                  S                  E 
$         %d         %d                %le                %le                %le                %le                %le                %le                %le                %le 
          1          1                  0                  0                  0                  0        39.95042775                  0         34.7526808        209.3975473
          1          2                  0                  0                  0                  0        164.4667014                  0         34.7526808        209.3975473
          1          3                  0                  0                  0                  0         288.982975                  0         34.7526808        209.3975473
          1          4                  0                  0                  0                  0        413.4992486                  0         34.7526808        209.3975473
          1          5                  0                  0                  0                  0        538.0155222                  0         34.7526808        209.3975473
          1          6                  0                  0                  0                  0        662.5317959                  0         34.7526808        209.3975473
          1          7                  0                  0                  0                  0        787.0480695                  0         34.7526808        209.3975473
          1          8                  0                  0                  0                  0        911.5643431                  0         34.7526808        209.3975473
          1          9                  0                  0                  0                  0        1036.080617                  0         34.7526808        209.3975473
          1         10                  0                  0                  0                  0         1160.59689                  0         34.7526808        209.3975473
          1         11                  0                  0                  0                  0        1285.113164                  0         34.7526808        209.3975473
          1         12                  0                  0                  0                  0        1409.629438                  0         34.7526808        209.3975473
          1         13                  0                  0                  0                  0        1534.145711                  0         34.7526808        209.3975473
          1         14                  0                  0                  0                  0        1658.661985                  0         34.7526808        209.3975473
          1         15                  0                  0                  0                  0        1783.178258                  0         34.7526808        209.3975473
          1         16                  0                  0                  0                  0        1907.694532                  0         34.7526808        209.3975473
          1         17                  0                  0                  0                  0        2032.210806                  0         34.7526808        209.3975473
          1         18                  0                  0                  0                  0        2156.727079                  0         34.7526808        209.3975473
          1         19                  0                  0                  0                  0        2281.243353                  0         34.7526808        209.3975473
          1         20                  0                  0                  0                  0        2405.759627                  0         34.7526808        209.3975473
          1         21                  0                  0                  0                  0          2530.2759                  0         34.7526808        209.3975473
          1         22                  0                  0                  0                  0        2654.792174                  0         34.7526808        209.3975473
          1         23                  0                  0                  0                  0        2779.308447                  0         34.7526808        209.3975473
          1         24                  0                  0                  0                  0        2903.824721                  0         34.7526808        209.3975473
          1         25                  0                  0                  0                  0        3028.340995                  0         34.7526808        209.3975473
          1         26                  0                  0                  0                  0        3152.857268                  0         34.7526808        209.3975473
          1         27                  0                  0                  0                  0        3277.373542                  0         34.7526808        209.3975473
          1         28                  0                  0                  0                  0        3401.889816                  0         34.7526808        209.3975473
          1         29                  0                  0                  0                  0        3526.406089                  0         34.7526808        209.3975473
          1         30                  0                  0                  0                  0        3650.922363                  0         34.7526808        209.3975473
          1         31                  0                  0                  0                  0        3775.438636                  0         34.7526808        209.3975473
          1         32                  0                  0                  0                  0         3899.95491                  0         34.7526808        209.3975473
          1         33                  0                  0                  0                  0        4024.471184                  0         34.7526808        209.3975473
          1         34                  0                  0                  0                  0        4148.987457                  0         34.7526808        209.3975473
          1         35                  0                  0                  0                  0        4273.503731                  0         34.7526808        209.3975473
          1         36                  0                  0                  0                  0        4398.020005                  0         34.7526808        209.3975473
          1         37                  0                  0                  0                  0        4522.536278                  0         34.7526808        209.3975473
          1         38                  0                  0                  0                  0        4647.052552                  0         34.7526808        209.3975473
          1         39                  0                  0                  0                  0        4771.568825                  0         34.7526808        209.3975473
          1         40                  0                  0                  0                  0        4896.085099                  0         34.7526808        209.3975473
          1         41                  0                  0                  0                  0        5020.601373                  0         34.7526808        209.3975473
          1         42                  0                  0                  0                  0        5145.117646                  0         34.7526808        209.3975473
          1         43                  0                  0                  0                  0         5269.63392                  0         34.7526808        209.3975473
          1         44                  0                  0                  0                  0        5394.150194                  0         34.7526808        209.3975473
          1         45                  0                  0                  0                  0        5518.666467                  0         34.7526808        209.3975473
          1         46                  0                  0                  0                  0        5643.182741                  0         34.7526808        209.3975473
          1         47                  0                  0                  0                  0        5767.699014                  0         34.7526808        209.3975473
          1         48                  0                  0                  0                  0        5892.215288                  0         34.7526808        209.3975473
          1         49                  0                  0                  0                  0        6016.731562                  0         34.7526808        209.3975473
          1         50                  0                  0                  0                  0        6141.247835                  0         34.7526808        209.3975473
          1         51                  0                  0                  0                  0        6265.764109                  0         34.7526808        209.3975473
          1         52                  0                  0                  0                  0        6390.280383                  0         34.7526808        209.3975473
          1         53                  0                  0                  0                  0        6514.796656                  0         34.7526808        209.3975473
          1         54                  0                  0                  0                  0         6639.31293                  0         34.7526808        209.3975473
          1         55                  0                  0                  0                  0        6763.829203                  0         34.7526808        209.3975473
          1         56                  0                  0                  0                  0        6888.345477                  0         34.7526808        209.3975473
          1         57                  0                  0                  0                  0        7012.861751                  0         34.7526808        209.3975473
          1         58                  0                  0                  0                  0        7137.378024                  0         34.7526808        209.3975473
          1         59                  0                  0                  0                  0        7261.894298                  0         34.7526808        209.3975473
          1         60                  0                  0                  0                  0        7386.410572                  0         34.7526808        209.3975473
          1         61                  0                  0                  0                  0        7510.926845                  0         34.7526808        209.3975473
          1         62                  0                  0                  0                  0        7635.443119                  0         34.7526808        209.3975473
          1         63                  0                  0                  0                  0        7759.959392                  0         34.7526808        209.3975473
          1         64                  0                  0                  0                  0        7884.475666                  0         34.7526808        209.3975473
          1         65                  0                  0                  0                  0         8008.99194                  0         34.7526808        209.3975473
          1         66                  0                  0                  0                  0        8133.508213                  0         34.7526808        209.3975473
