@ NAME             %19s "TRACK.OBS0001.P0001"
@ TYPE             %08s "TRACKOBS"
@ TITLE            %15s "ESR ring optics"
@ ORIGIN           %18s "5.09.03 Windows 64"
@ DATE             %08s "10/01/25"
@ TIME             %08s "18.55.24"
*     NUMBER       TURN                  X                 PX                  Y                 PY                  T                 PT                  S                  E 
$         %d         %d                %le                %le                %le                %le                %le                %le                %le                %le 
          1         85                  0                  0                  0                  0        10583.88326                  0                  0        209.3975473
          1         86                  0                  0                  0                  0        10708.39953                  0                  0        209.3975473
          1         87                  0                  0                  0                  0        10832.91581                  0                  0        209.3975473
          1         88                  0                  0                  0                  0        10957.43208                  0                  0        209.3975473
          1         89                  0                  0                  0                  0        11081.94835                  0                  0        209.3975473
          1         90                  0                  0                  0                  0        11206.46463                  0                  0        209.3975473
          1         91                  0                  0                  0                  0         11330.9809                  0                  0        209.3975473
          1         92                  0                  0                  0                  0        11455.49717                  0                  0        209.3975473
          1         93                  0                  0                  0                  0        11580.01345                  0                  0        209.3975473
          1         94                  0                  0                  0                  0        11704.52972                  0                  0        209.3975473
          1         95                  0                  0                  0                  0        11829.04599                  0                  0        209.3975473
          1         96                  0                  0                  0                  0        11953.56227                  0                  0        209.3975473
          1         97                  0                  0                  0                  0        12078.07854                  0                  0        209.3975473
          1         98                  0                  0                  0                  0        12202.59482                  0                  0        209.3975473
          1         99                  0                  0                  0                  0        12327.11109                  0                  0        209.3975473
          1        100                  0                  0                  0                  0        12451.62736                  0                  0        209.3975473
          1        101                  0                  0                  0                  0        12576.14364                  0                  0        209.3975473
          1        102                  0                  0                  0                  0        12700.65991                  0                  0        209.3975473
          1        103                  0                  0                  0                  0        12825.17618                  0                  0        209.3975473
          1        104                  0                  0                  0                  0        12949.69246                  0                  0        209.3975473
          1        105                  0                  0                  0                  0        13074.20873                  0                  0        209.3975473
          1        106                  0                  0                  0                  0          13198.725                  0                  0        209.3975473
          1        107                  0                  0                  0                  0        13323.24128                  0                  0        209.3975473
          1        108                  0                  0                  0                  0        13447.75755                  0                  0        209.3975473
          1        109                  0                  0                  0                  0        13572.27383                  0                  0        209.3975473
          1        110                  0                  0                  0                  0         13696.7901                  0                  0        209.3975473
          1        111                  0                  0                  0                  0        13821.30637                  0                  0        209.3975473
          1        112                  0                  0                  0                  0        13945.82265                  0                  0        209.3975473
          1        113                  0                  0                  0                  0        14070.33892                  0                  0        209.3975473
          1        114                  0                  0                  0                  0        14194.85519                  0                  0        209.3975473
          1        115                  0                  0                  0                  0        14319.37147                  0                  0        209.3975473
          1        116                  0                  0                  0                  0        14443.88774                  0                  0        209.3975473
          1        117                  0                  0                  0                  0        14568.40401                  0                  0        209.3975473
          1        118                  0                  0                  0                  0        14692.92029                  0                  0        209.3975473
          1        119                  0                  0                  0                  0        14817.43656                  0                  0        209.3975473
          1        120                  0                  0                  0                  0        14941.95283                  0                  0        209.3975473
          1        121                  0                  0                  0                  0        15066.46911                  0                  0        209.3975473
          1        122                  0                  0                  0                  0        15190.98538                  0                  0        209.3975473
          1        123                  0                  0                  0                  0        15315.50166                  0                  0        209.3975473
          1        124                  0                  0                  0                  0        15440.01793                  0                  0        209.3975473
          1        125                  0                  0                  0                  0         15564.5342                  0                  0        209.3975473
          1        126                  0                  0                  0                  0        15689.05048                  0                  0        209.3975473
          1        127                  0                  0                  0                  0        15813.56675                  0                  0        209.3975473
