@ NAME             %19s "TRACK.OBS0003.P0001"
@ TYPE             %08s "TRACKOBS"
@ TITLE            %15s "ESR ring optics"
@ ORIGIN           %18s "5.09.03 Windows 64"
@ DATE             %08s "10/01/25"
@ TIME             %08s "18.55.24"
*     NUMBER       TURN                  X                 PX                  Y                 PY                  T                 PT                  S                  E 
$         %d         %d                %le                %le                %le                %le                %le                %le                %le                %le 
          1          1                  0                  0                  0                  0         117.561413                  0        102.2660955        209.3975473
          1          2                  0                  0                  0                  0        242.0776866                  0        102.2660955        209.3975473
          1          3                  0                  0                  0                  0        366.5939602                  0        102.2660955        209.3975473
          1          4                  0                  0                  0                  0        491.1102339                  0        102.2660955        209.3975473
          1          5                  0                  0                  0                  0        615.6265075                  0        102.2660955        209.3975473
          1          6                  0                  0                  0                  0        740.1427811                  0        102.2660955        209.3975473
          1          7                  0                  0                  0                  0        864.6590547                  0        102.2660955        209.3975473
          1          8                  0                  0                  0                  0        989.1753283                  0        102.2660955        209.3975473
          1          9                  0                  0                  0                  0        1113.691602                  0        102.2660955        209.3975473
          1         10                  0                  0                  0                  0        1238.207876                  0        102.2660955        209.3975473
          1         11                  0                  0                  0                  0        1362.724149                  0        102.2660955        209.3975473
          1         12                  0                  0                  0                  0        1487.240423                  0        102.2660955        209.3975473
          1         13                  0                  0                  0                  0        1611.756696                  0        102.2660955        209.3975473
          1         14                  0                  0                  0                  0         1736.27297                  0        102.2660955        209.3975473
          1         15                  0                  0                  0                  0        1860.789244                  0        102.2660955        209.3975473
          1         16                  0                  0                  0                  0        1985.305517                  0        102.2660955        209.3975473
          1         17                  0                  0                  0                  0        2109.821791                  0        102.2660955        209.3975473
          1         18                  0                  0                  0                  0        2234.338065                  0        102.2660955        209.3975473
          1         19                  0                  0                  0                  0        2358.854338                  0        102.2660955        209.3975473
          1         20                  0                  0                  0                  0        2483.370612                  0        102.2660955        209.3975473
          1         21                  0                  0                  0                  0        2607.886885                  0        102.2660955        209.3975473
          1         22                  0                  0                  0                  0        2732.403159                  0        102.2660955        209.3975473
          1         23                  0                  0                  0                  0        2856.919433                  0        102.2660955        209.3975473
          1         24                  0                  0                  0                  0        2981.435706                  0        102.2660955        209.3975473
          1         25                  0                  0                  0                  0         3105.95198                  0        102.2660955        209.3975473
          1         26                  0                  0                  0                  0        3230.468254                  0        102.2660955        209.3975473
          1         27                  0                  0                  0                  0        3354.984527                  0        102.2660955        209.3975473
          1         28                  0                  0                  0                  0        3479.500801                  0        102.2660955        209.3975473
          1         29                  0                  0                  0                  0        3604.017074                  0        102.2660955        209.3975473
          1         30                  0                  0                  0                  0        3728.533348                  0        102.2660955        209.3975473
          1         31                  0                  0                  0                  0        3853.049622                  0        102.2660955        209.3975473
          1         32                  0                  0                  0                  0        3977.565895                  0        102.2660955        209.3975473
          1         33                  0                  0                  0                  0        4102.082169                  0        102.2660955        209.3975473
          1         34                  0                  0                  0                  0        4226.598443                  0        102.2660955        209.3975473
          1         35                  0                  0                  0                  0        4351.114716                  0        102.2660955        209.3975473
          1         36                  0                  0                  0                  0         4475.63099                  0        102.2660955        209.3975473
          1         37                  0                  0                  0                  0        4600.147263                  0        102.2660955        209.3975473
          1         38                  0                  0                  0                  0        4724.663537                  0        102.2660955        209.3975473
          1         39                  0                  0                  0                  0        4849.179811                  0        102.2660955        209.3975473
          1         40                  0                  0                  0                  0        4973.696084                  0        102.2660955        209.3975473
          1         41                  0                  0                  0                  0        5098.212358                  0        102.2660955        209.3975473
          1         42                  0                  0                  0                  0        5222.728632                  0        102.2660955        209.3975473
          1         43                  0                  0                  0                  0        5347.244905                  0        102.2660955        209.3975473
          1         44                  0                  0                  0                  0        5471.761179                  0        102.2660955        209.3975473
          1         45                  0                  0                  0                  0        5596.277452                  0        102.2660955        209.3975473
          1         46                  0                  0                  0                  0        5720.793726                  0        102.2660955        209.3975473
          1         47                  0                  0                  0                  0            5845.31                  0        102.2660955        209.3975473
          1         48                  0                  0                  0                  0        5969.826273                  0        102.2660955        209.3975473
          1         49                  0                  0                  0                  0        6094.342547                  0        102.2660955        209.3975473
          1         50                  0                  0                  0                  0        6218.858821                  0        102.2660955        209.3975473
          1         51                  0                  0                  0                  0        6343.375094                  0        102.2660955        209.3975473
          1         52                  0                  0                  0                  0        6467.891368                  0        102.2660955        209.3975473
          1         53                  0                  0                  0                  0        6592.407641                  0        102.2660955        209.3975473
          1         54                  0                  0                  0                  0        6716.923915                  0        102.2660955        209.3975473
          1         55                  0                  0                  0                  0        6841.440189                  0        102.2660955        209.3975473
          1         56                  0                  0                  0                  0        6965.956462                  0        102.2660955        209.3975473
          1         57                  0                  0                  0                  0        7090.472736                  0        102.2660955        209.3975473
          1         58                  0                  0                  0                  0         7214.98901                  0        102.2660955        209.3975473
          1         59                  0                  0                  0                  0        7339.505283                  0        102.2660955        209.3975473
          1         60                  0                  0                  0                  0        7464.021557                  0        102.2660955        209.3975473
          1         61                  0                  0                  0                  0         7588.53783                  0        102.2660955        209.3975473
          1         62                  0                  0                  0                  0        7713.054104                  0        102.2660955        209.3975473
          1         63                  0                  0                  0                  0        7837.570378                  0        102.2660955        209.3975473
          1         64                  0                  0                  0                  0        7962.086651                  0        102.2660955        209.3975473
          1         65                  0                  0                  0                  0        8086.602925                  0        102.2660955        209.3975473
          1         66                  0                  0                  0                  0        8211.119199                  0        102.2660955        209.3975473
          1         67                  0                  0                  0                  0        8335.635472                  0        102.2660955        209.3975473
