@ NAME             %19s "TRACK.OBS0003.P0001"
@ TYPE             %08s "TRACKOBS"
@ TITLE            %15s "ESR ring optics"
@ ORIGIN           %18s "5.09.03 Windows 64"
@ DATE             %08s "10/01/25"
@ TIME             %08s "18.55.22"
*     NUMBER       TURN                  X                 PX                  Y                 PY                  T                 PT                  S                  E 
$         %d         %d                %le                %le                %le                %le                %le                %le                %le                %le 
          1          1                  0                  0                  0                  0        116.9942701                  0        102.2660955        212.6401694
          1          2                  0                  0                  0                  0         240.909849                  0        102.2660955        212.6401694
          1          3                  0                  0                  0                  0        364.8254279                  0        102.2660955        212.6401694
          1          4                  0                  0                  0                  0        488.7410068                  0        102.2660955        212.6401694
          1          5                  0                  0                  0                  0        612.6565857                  0        102.2660955        212.6401694
          1          6                  0                  0                  0                  0        736.5721646                  0        102.2660955        212.6401694
          1          7                  0                  0                  0                  0        860.4877435                  0        102.2660955        212.6401694
          1          8                  0                  0                  0                  0        984.4033224                  0        102.2660955        212.6401694
          1          9                  0                  0                  0                  0        1108.318901                  0        102.2660955        212.6401694
          1         10                  0                  0                  0                  0         1232.23448                  0        102.2660955        212.6401694
          1         11                  0                  0                  0                  0        1356.150059                  0        102.2660955        212.6401694
          1         12                  0                  0                  0                  0        1480.065638                  0        102.2660955        212.6401694
          1         13                  0                  0                  0                  0        1603.981217                  0        102.2660955        212.6401694
          1         14                  0                  0                  0                  0        1727.896796                  0        102.2660955        212.6401694
          1         15                  0                  0                  0                  0        1851.812375                  0        102.2660955        212.6401694
          1         16                  0                  0                  0                  0        1975.727954                  0        102.2660955        212.6401694
          1         17                  0                  0                  0                  0        2099.643532                  0        102.2660955        212.6401694
          1         18                  0                  0                  0                  0        2223.559111                  0        102.2660955        212.6401694
          1         19                  0                  0                  0                  0         2347.47469                  0        102.2660955        212.6401694
          1         20                  0                  0                  0                  0        2471.390269                  0        102.2660955        212.6401694
          1         21                  0                  0                  0                  0        2595.305848                  0        102.2660955        212.6401694
          1         22                  0                  0                  0                  0        2719.221427                  0        102.2660955        212.6401694
          1         23                  0                  0                  0                  0        2843.137006                  0        102.2660955        212.6401694
          1         24                  0                  0                  0                  0        2967.052585                  0        102.2660955        212.6401694
          1         25                  0                  0                  0                  0        3090.968164                  0        102.2660955        212.6401694
