@ NAME             %19s "TRACK.OBS0001.P0001"
@ TYPE             %08s "TRACKOBS"
@ TITLE            %15s "ESR ring optics"
@ ORIGIN           %18s "5.09.03 Windows 64"
@ DATE             %08s "10/01/25"
@ TIME             %08s "18.55.22"
*     NUMBER       TURN                  X                 PX                  Y                 PY                  T                 PT                  S                  E 
$         %d         %d                %le                %le                %le                %le                %le                %le                %le                %le 
          1          0                  0                  0                  0                  0                  0                  0                  0        212.6401694
          1          1                  0                  0                  0                  0        123.9155789                  0                  0        212.6401694
          1          2                  0                  0                  0                  0        247.8311578                  0                  0        212.6401694
          1          3                  0                  0                  0                  0        371.7467367                  0                  0        212.6401694
          1          4                  0                  0                  0                  0        495.6623156                  0                  0        212.6401694
          1          5                  0                  0                  0                  0        619.5778945                  0                  0        212.6401694
          1          6                  0                  0                  0                  0        743.4934734                  0                  0        212.6401694
          1          7                  0                  0                  0                  0        867.4090523                  0                  0        212.6401694
          1          8                  0                  0                  0                  0        991.3246312                  0                  0        212.6401694
          1          9                  0                  0                  0                  0         1115.24021                  0                  0        212.6401694
          1         10                  0                  0                  0                  0        1239.155789                  0                  0        212.6401694
          1         11                  0                  0                  0                  0        1363.071368                  0                  0        212.6401694
          1         12                  0                  0                  0                  0        1486.986947                  0                  0        212.6401694
          1         13                  0                  0                  0                  0        1610.902526                  0                  0        212.6401694
          1         14                  0                  0                  0                  0        1734.818105                  0                  0        212.6401694
          1         15                  0                  0                  0                  0        1858.733683                  0                  0        212.6401694
          1         16                  0                  0                  0                  0        1982.649262                  0                  0        212.6401694
          1         17                  0                  0                  0                  0        2106.564841                  0                  0        212.6401694
          1         18                  0                  0                  0                  0         2230.48042                  0                  0        212.6401694
          1         19                  0                  0                  0                  0        2354.395999                  0                  0        212.6401694
          1         20                  0                  0                  0                  0        2478.311578                  0                  0        212.6401694
          1         21                  0                  0                  0                  0        2602.227157                  0                  0        212.6401694
          1         22                  0                  0                  0                  0        2726.142736                  0                  0        212.6401694
          1         23                  0                  0                  0                  0        2850.058315                  0                  0        212.6401694
          1         24                  0                  0                  0                  0        2973.973894                  0                  0        212.6401694
          1         25                  0                  0                  0                  0        3097.889472                  0                  0        212.6401694
          1         26                  0                  0                  0                  0        3221.805051                  0                  0        212.6401694
          1         27                  0                  0                  0                  0         3345.72063                  0                  0        212.6401694
          1         28                  0                  0                  0                  0        3469.636209                  0                  0        212.6401694
          1         29                  0                  0                  0                  0        3593.551788                  0                  0        212.6401694
          1         30                  0                  0                  0                  0        3717.467367                  0                  0        212.6401694
          1         31                  0                  0                  0                  0        3841.382946                  0                  0        212.6401694
          1         32                  0                  0                  0                  0        3965.298525                  0                  0        212.6401694
          1         33                  0                  0                  0                  0        4089.214104                  0                  0        212.6401694
          1         34                  0                  0                  0                  0        4213.129683                  0                  0        212.6401694
          1         35                  0                  0                  0                  0        4337.045261                  0                  0        212.6401694
          1         36                  0                  0                  0                  0         4460.96084                  0                  0        212.6401694
          1         37                  0                  0                  0                  0        4584.876419                  0                  0        212.6401694
          1         38                  0                  0                  0                  0        4708.791998                  0                  0        212.6401694
          1         39                  0                  0                  0                  0        4832.707577                  0                  0        212.6401694
