@ NAME             %19s "TRACK.OBS0002.P0001"
@ TYPE             %08s "TRACKOBS"
@ TITLE            %15s "ESR ring optics"
@ ORIGIN           %18s "5.09.03 Windows 64"
@ DATE             %08s "10/01/25"
@ TIME             %08s "18.55.22"
*     NUMBER       TURN                  X                 PX                  Y                 PY                  T                 PT                  S                  E 
$         %d         %d                %le                %le                %le                %le                %le                %le                %le                %le 
          1          1                  0                  0                  0                  0        39.75769783                  0         34.7526808        212.6401694
          1          2                  0                  0                  0                  0        163.6732767                  0         34.7526808        212.6401694
          1          3                  0                  0                  0                  0        287.5888556                  0         34.7526808        212.6401694
          1          4                  0                  0                  0                  0        411.5044345                  0         34.7526808        212.6401694
          1          5                  0                  0                  0                  0        535.4200134                  0         34.7526808        212.6401694
          1          6                  0                  0                  0                  0        659.3355923                  0         34.7526808        212.6401694
          1          7                  0                  0                  0                  0        783.2511712                  0         34.7526808        212.6401694
          1          8                  0                  0                  0                  0        907.1667501                  0         34.7526808        212.6401694
          1          9                  0                  0                  0                  0        1031.082329                  0         34.7526808        212.6401694
          1         10                  0                  0                  0                  0        1154.997908                  0         34.7526808        212.6401694
          1         11                  0                  0                  0                  0        1278.913487                  0         34.7526808        212.6401694
          1         12                  0                  0                  0                  0        1402.829066                  0         34.7526808        212.6401694
          1         13                  0                  0                  0                  0        1526.744645                  0         34.7526808        212.6401694
          1         14                  0                  0                  0                  0        1650.660224                  0         34.7526808        212.6401694
          1         15                  0                  0                  0                  0        1774.575802                  0         34.7526808        212.6401694
          1         16                  0                  0                  0                  0        1898.491381                  0         34.7526808        212.6401694
          1         17                  0                  0                  0                  0         2022.40696                  0         34.7526808        212.6401694
          1         18                  0                  0                  0                  0        2146.322539                  0         34.7526808        212.6401694
          1         19                  0                  0                  0                  0        2270.238118                  0         34.7526808        212.6401694
          1         20                  0                  0                  0                  0        2394.153697                  0         34.7526808        212.6401694
          1         21                  0                  0                  0                  0        2518.069276                  0         34.7526808        212.6401694
          1         22                  0                  0                  0                  0        2641.984855                  0         34.7526808        212.6401694
          1         23                  0                  0                  0                  0        2765.900434                  0         34.7526808        212.6401694
          1         24                  0                  0                  0                  0        2889.816012                  0         34.7526808        212.6401694
          1         25                  0                  0                  0                  0        3013.731591                  0         34.7526808        212.6401694
          1         26                  0                  0                  0                  0         3137.64717                  0         34.7526808        212.6401694
          1         27                  0                  0                  0                  0        3261.562749                  0         34.7526808        212.6401694
          1         28                  0                  0                  0                  0        3385.478328                  0         34.7526808        212.6401694
          1         29                  0                  0                  0                  0        3509.393907                  0         34.7526808        212.6401694
          1         30                  0                  0                  0                  0        3633.309486                  0         34.7526808        212.6401694
          1         31                  0                  0                  0                  0        3757.225065                  0         34.7526808        212.6401694
          1         32                  0                  0                  0                  0        3881.140644                  0         34.7526808        212.6401694
          1         33                  0                  0                  0                  0        4005.056223                  0         34.7526808        212.6401694
          1         34                  0                  0                  0                  0        4128.971801                  0         34.7526808        212.6401694
          1         35                  0                  0                  0                  0         4252.88738                  0         34.7526808        212.6401694
          1         36                  0                  0                  0                  0        4376.802959                  0         34.7526808        212.6401694
          1         37                  0                  0                  0                  0        4500.718538                  0         34.7526808        212.6401694
